ticker,mean_volume,median_volum
CPX.TO,207588.75206270628,165701.0
AX.UN.TO,206269.13205207686,168582.5
WSP.TO,205517.82184353215,168120.0
HEXO.WT.TO,204626.43452380953,152304.0
PDL.TO,204323.34745390693,57700.0
GUD.TO,201521.0223140496,142265.5
ZEB.TO,201261.1211041852,112542.5
DRT.TO,200410.39527798933,123378.0
FSY.TO,198355.52130406714,69750.0
RUS.TO,197943.43274083827,151600.0
HZD.TO,197454.56775010552,38574.0
ACB.WT.TO,196493.078313253,97687.5
MRE.TO,196443.9471143296,112351.0
TCN.TO,196148.7517209729,148891.0
TLG.TO,195546.0224719101,37505.0
HSU.TO,194741.3719716735,123284.0
CF.TO,193632.49659307714,119272.0
AVL.TO,193532.03723287067,70600.0
JE.DB.C.TO,192855.35117056855,78500.0
PBH.DB.G.TO,191170.25862068965,98000.0
FSZ.DB.TO,190679.180887372,40000.0
YGR.TO,189957.8998287671,125253.5
DHX.TO,189801.65670955883,42350.0
MRT.DB.TO,188890.46078431373,64500.0
CUF.UN.TO,186952.14947322212,103550.0
PSI.TO,186058.8286153171,95600.0
CKE.TO,186014.35329341318,87700.0
GEN.TO,185324.6567366283,5416.0
LAM.TO,184633.2472195742,114900.0
KMP.UN.TO,182805.4796437659,126124.5
SAU.TO,181608.9327892463,52300.0
NML.TO,181036.85412147504,90155.0
CHP.UN.TO,180354.68953323903,67023.0
JE.DB.D.TO,179948.4126984127,76000.0
ATP.TO,179100.82806573957,105063.0
ESN.TO,178529.64724310776,109331.5
WFT.TO,177047.81676541583,123600.0
MTL.TO,176890.75917380795,117117.0
SII.TO,176609.43823964498,90876.5
CHE.DB.C.TO,176353.1241935484,61000.0
BIP.UN.TO,175193.46017699115,131550.0
NHK.TO,173607.1052631579,87370.0
VLE.TO,172758.9335832887,64802.0
MND.TO,172611.6358175751,19000.0
EDT.TO,172038.4149855908,73176.0
CDV.TO,171412.37554140127,72200.0
EIF.DB.I.TO,171311.22448979592,72500.0
ACO.X.TO,170948.4205792014,126547.0
GOLD.TO,169750.98830409357,131979.0
GEI.DB.TO,168551.9005847953,20000.0
WM.TO,167028.63421570772,49600.0
MIC.TO,166355.10123966943,127438.0
EDR.TO,165332.2742541,109800.0
TCL.A.TO,164916.758726674,107100.0
HSD.TO,164426.16362281027,79222.0
ME.TO,164186.14198206083,66000.0
ER.TO,163979.46860643185,80700.0
DSG.TO,163794.42659644503,85800.0
CAS.TO,163381.6625713032,109622.0
PKI.TO,162426.65876152832,113018.5
COP.TO,161804.77082601056,42000.0
DNT.TO,161546.15375982042,68500.0
GMP.TO,161543.4469816273,73800.0
MFI.TO,161378.41847706825,111000.0
NPI.TO,160705.8720035188,110100.0
BKI.TO,160386.19758064515,45750.0
GGA.TO,159210.5400516796,38137.5
LGD.TO,158774.48098434004,106403.0
VMD.TO,158653.9,114097.0
WRG.TO,158424.72402597402,86392.0
CJT.DB.C.TO,158000.0,35000.0
CAR.UN.TO,157770.83326020185,121093.5
FT.TO,157161.09997812295,42800.0
ALO.TO,157030.13258426965,112758.0
ZPR.TO,155866.46815286623,107860.0
DC.A.TO,155079.09019091507,76300.0
ROOT.TO,153886.69461077845,89597.0
AOI.TO,153342.99336099584,105818.0
GSV.TO,152705.34302325582,93535.5
SW.TO,152564.85670397192,97100.0
BEP.UN.TO,152350.15600882028,121273.0
REAL.TO,151493.83705357142,57443.0
ATP.DB.E.TO,151346.8634686347,49000.0
KER.TO,150746.96567862714,73543.5
D.UN.TO,150128.69607197717,101400.0
EFX.TO,148403.64086687306,110138.5
LMC.TO,147415.195,114374.5
SCL.TO,147169.65407956846,112994.0
RET.A.TO,146837.61334211103,56100.0
SGY.DB.TO,146514.1065830721,25000.0
VNP.TO,146032.32442067735,70010.0
STEP.TO,146012.90549450548,103820.0
XIC.TO,145923.51641526175,91141.5
TRL.TO,144893.31785195935,27355.5
WDO.TO,143505.7847298184,32765.0
EXE.DB.C.TO,142860.46511627908,47000.0
FRU.TO,142478.02655255652,97300.0
CGX.TO,141095.78013071895,100766.0
TXG.TO,141067.72426555632,29510.0
LNR.TO,140994.68992758394,98436.0
TOS.TO,140691.7884231537,71603.5
EIT.UN.TO,139553.57702464788,112024.5
PBH.DB.F.TO,138928.05755395684,48500.0
FCR.TO,138762.37889425186,77933.0
DIR.UN.TO,137675.9163545568,99578.5
TH.TO,137267.80794556628,70729.0
CLQ.TO,136009.28900112232,26500.0
GGD.TO,135822.17212041884,57157.0
MIN.TO,134728.23255813954,92162.5
RSI.TO,134648.66600833883,94200.0
XRE.TO,134303.25897874418,91647.0
AFN.DB.E.TO,133836.23693379792,61000.0
KML.TO,133313.0871559633,89473.0
MOZ.TO,133033.27456790124,43200.0
FEC.TO,132658.63353658537,37300.0
NWC.TO,132103.9220636663,75676.0
TAO.TO,131755.6158663883,76189.5
DOO.TO,131618.47474048444,85273.0
GPS.TO,130933.40400471142,49176.0
TGL.TO,130583.72635505816,69000.0
WTE.TO,129135.84984984985,98192.0
NFI.TO,129078.46366047746,83448.0
DBO.TO,128959.11055022715,74850.0
