ticker,normal_gain,gain_period,ema_gain,beta_coef
FTT.TO,-27.94074074074074,0,0.0,1.137700349445647
SVM.TO,8.231707317073171,231,-22.82282282282283,0.6568117375678612
SNC.TO,-37.34679163662581,81,-7.874155705652328,1.0016306823272727
H.TO,1.4992503748125794,41,-5.430991529646238,0.07489256296192186
HOU.TO,-28.70762711864406,239,-49.09560723514211,2.4235038595702814
FVI.TO,-15.371621621621623,263,-29.51907131011609,0.3053736610223726
QBR.B.TO,33.445378151260506,0,0,0.43774142540436645
ASR.TO,66.36363636363636,0,0.0,0.10074197449535353
OSK.TO,25.08710801393727,0,0,0.5659206044428617
HXU.TO,6.360219716681109,184,-17.155578837087482,2.041858740622197
AAV.TO,-39.84168865435357,202,-25.24038461538462,1.7073131016352787
PVG.TO,29.779411764705877,0,0.0,-0.1204445636052402
L.TO,-0.23349937733498052,0,0.0,0.5637918707369213
BNP.TO,-15.602836879432624,140,-19.594594594594597,1.3085718154035786
IN.TO,-61.9047619047619,0,0,-0.0886386231240151
WJA.TO,-18.623639191290824,0,0,0.8208998022990065
CNL.TO,-37.467018469656985,0,0.0,0.4365443825461685
NSU.TO,106.55172413793106,0,0.0,0.4993130045665168
MX.TO,5.143246930422914,0,0.0,1.9490494810943173
PRU.TO,-4.651162790697678,136,-31.249999999999993,0.17464137382859812
ESI.TO,-15.00789889415482,0,0,1.8869132484174256
UEX.TO,-44.44444444444445,144,-18.518518518518523,1.7439156655333052
OR.TO,20.03192338387869,53,-14.297452752670504,0.043770559547036875
PPL.TO,17.86594381468704,0,0.0,1.1350684255924213
PG.TO,-36.99059561128527,0,0,-0.11126657800897458
KEY.TO,-2.2348127163991216,246,-17.693895606015918,1.0418472935018996
HXD.TO,-11.386138613861378,214,-3.999999999999995,-2.07571867512668
CIX.TO,-30.90644339279213,0,0,0.6502413097307179
HGU.TO,7.43565300285986,165,-32.45614035087719,0.5407165142024551
CEU.TO,-43.08231173380035,77,-28.410914927768864,1.4418462921759778
VET.TO,-19.152583884398727,141,-28.317613511735036,1.4939332173356081
HR.UN.TO,18.852027382833082,0,0.0,0.37776163716017536
SSL.TO,25.245901639344265,0,0,0.23578816999762012
JE.TO,-16.192170818505343,0,0,0.42280596670642623
CHR.TO,-6.142506142506153,0,0,1.215462398539296
SES.TO,6.180469715698393,296,8.435543162249818,1.5439816806930204
DRG.UN.TO,14.893617021276595,0,0.0,0.5610659010732606
MAXR.TO,-83.92888269130208,215,-49.50572979763257,0.9550957733168068
LUC.TO,-30.801687763713087,0,0,1.046063571621239
FR.TO,22.20650636492221,319,-7.372654155495977,0.6666523615893293
HNU.TO,-18.598382749326145,94,-13.631049801262543,0.8121144596125919
ROXG.TO,-21.36752136752136,0,0,0.11981427922098377
BSX.TO,-3.030303030303033,0,0.0,0.5305853795802566
TWM.TO,2.2556390977443628,182,-10.236220472440936,0.800392424063931
GEI.TO,32.23192019950126,0,0.0,1.0936431694609654
ECS.TO,-77.61194029850746,145,-41.911764705882355,1.4683195961197926
CFW.TO,-49.840764331210195,167,-40.418247063234034,2.244935248451335
TDG.TO,-12.041884816753926,0,0,-0.011582528463657777
PXT.TO,10.000000000000004,239,-23.06052855924979,1.6262500248702914
PLI.TO,-80.4054054054054,0,0,1.0855082205317497
NVA.TO,-46.42424242424242,113,-35.372636262513915,2.0503769030012986
CFP.TO,-48.88023369036027,189,-2.881645874926812,0.9640994996193808
IFP.TO,-37.50000000000001,0,0,1.1619712070340094
GOOS.TO,71.47895603103692,0,0.0,2.174043890943486
TKO.TO,-57.78894472361809,0,0,2.21423224095753
CGG.TO,-40.264026402640255,0,0,0.4859256960160054
WCN.TO,20.964360587002098,0,0,0.8232322519882723
CMMC.TO,-32.28346456692914,0,0,1.57993933553583
